id,count
0,36.373787
1,212.91606
2,60.30819
4,50.26216
5,83.455284
10,73.77951
11,81.81359
12,240.6086
15,25.805536
17,18.57165
18,203.38515
23,173.03703
25,130.50644
26,28.948803
31,154.72751
39,192.57448
40,21.24988
41,139.56644
42,211.44987
43,111.13742
51,215.73349
52,15.710371
54,41.363605
60,105.41715
61,141.54906
62,90.83693
63,11.401066
65,78.942276
66,76.26546
68,189.86143
71,39.654774
80,26.828669
82,26.572964
94,125.683136
98,166.06926
101,30.247993
102,114.097404
107,75.13378
112,286.15546
113,42.103203
115,31.362545
116,98.203285
120,43.72756
121,35.754616
122,224.9929
132,132.18237
143,32.333176
147,34.63572
150,18.1981
151,34.33603
152,210.53372
153,34.600307
155,42.124817
156,84.56535
159,170.27959
161,31.277702
163,32.164494
177,119.56607
186,22.808874
188,22.029316
190,25.438896
191,44.17511
192,150.76205
195,212.95235
200,154.46315
209,202.27798
210,33.295864
211,254.09088
214,133.39671
215,27.730658
218,89.74365
219,24.483007
222,45.032665
225,14.734836
228,215.26596
236,180.61925
241,20.604296
242,156.34265
243,197.91743
245,30.680073
247,174.31013
251,171.10538
252,27.076107
253,32.327393
254,24.200235
258,167.46216
260,30.297125
261,161.73659
265,35.663906
266,180.99211
267,187.157
269,117.686035
270,32.503784
275,82.890884
278,35.12301
279,31.286541
286,48.6679
287,36.06366
288,159.90324
289,132.95883
293,24.878998
294,164.76959
297,7.4717464
302,63.486595
303,35.16469
304,91.16213
307,75.16196
309,27.808025
311,200.57143
312,133.27098
314,190.58699
315,197.84013
319,144.90987
322,92.40474
323,35.525845
325,147.56361
327,182.75623
330,26.898397
332,173.48587
333,27.02417
338,93.38505
341,25.751667
345,132.2012
348,109.69001
349,29.087196
350,65.16278
352,27.953308
355,8.708221
356,177.61208
358,47.6585
363,139.48871
369,169.84593
371,14.050059
372,169.24342
375,202.06929
380,142.3634
388,34.662125
391,186.83952
392,175.33481
393,220.50603
394,49.439545
396,29.60087
401,13.123323
407,23.579964
409,32.41519
410,86.56276
416,71.46271
418,59.011906
420,145.41483
421,251.09663
422,169.37871
424,193.74289
428,196.1824
429,231.23145
431,124.41479
435,4.9515514
439,53.829514
441,30.450384
447,33.630028
449,182.88103
451,199.74652
452,40.6948
454,153.36627
458,251.0738
463,114.726105
467,26.393684
470,151.1743
471,96.84653
474,200.51027
478,30.692722
483,62.893284
484,121.19596
485,39.125187
486,103.02756
491,82.292564
494,47.04397
495,148.53023
497,140.8646
499,201.97418
515,87.22825
518,140.24333
521,52.422256
525,187.54256
529,185.00928
532,109.59565
534,30.109673
540,38.288734
544,195.94424
547,130.474
549,31.615305
563,28.59321
564,178.23064
567,72.08613
572,103.8611
577,163.67557
578,205.19441
585,195.92867
588,181.8324
589,121.58654
590,76.57815
592,35.930363
594,150.2549
596,19.203865
598,213.8532
599,125.85246
605,25.638824
606,107.28125
607,166.12094
608,154.51308
609,33.589397
610,173.31133
611,50.520397
614,124.17486
615,129.69156
616,189.75867
617,111.38385
618,158.3847
624,69.90471
629,133.83571
631,31.112906
633,50.992878
637,24.409473
638,104.187775
643,26.32653
644,131.66824
645,31.005554
646,136.72627
648,111.09239
650,20.589642
651,52.697964
652,195.49088
656,114.42053
657,41.82094
659,13.378449
660,139.74153
662,91.82702
665,225.6175
675,213.88692
681,116.29916
682,133.28351
685,30.679565
686,169.41992
689,26.495274
696,94.42703
703,143.6053
704,75.85022
705,112.94551
714,142.24805
717,35.921116
718,40.895836
720,18.529718
721,246.82603
723,144.43834
726,56.662865
728,131.58525
730,43.02345
731,38.64522
734,194.8846
737,32.833565
738,28.18202
745,198.60254
746,43.549393
749,163.35466
752,25.029165
753,47.677
758,134.28088
765,38.423214
766,218.31369
768,37.654156
769,155.12544
774,146.88997
775,67.35222
781,28.354568
784,209.64253
794,48.978886
795,177.70955
796,38.056065
802,124.785255
803,63.457672
805,27.979359
806,183.11957
807,84.07192
809,13.679329
810,169.41096
812,46.54435
814,66.245926
818,181.86147
819,198.87367
825,15.679522
836,58.952446
839,112.44568
847,182.21445
848,39.689095
851,154.03508
852,104.94652
853,29.22477
857,125.219406
858,28.239489
859,148.2174
861,9.6082115
867,100.30665
870,161.0841
871,163.467
872,255.23286
874,253.9558
881,183.43636
886,99.33577
890,28.257523
895,128.39247
899,30.863028
900,191.68338
901,160.83073
902,189.52391
903,37.655132
913,175.0503
918,181.75516
923,117.093895
924,28.944323
926,26.804108
927,24.611923
930,133.0794
934,25.318645
937,143.49661
939,90.62666
941,31.226343
942,231.48073
946,173.81882
950,75.48968
953,20.564526
959,45.545643
961,20.022669
962,32.037445
964,71.239525
969,134.67667
971,95.88415
976,25.985409
978,157.86479
980,181.72562
981,145.60307
990,194.46497
993,23.467718
996,27.083698
998,228.25563
999,143.69345
1006,96.2296
1008,30.890911
1013,23.526556
1015,81.812
1016,109.38723
1022,177.49777
1026,162.89589
1028,220.35793
1031,7.5875006
1034,25.316448
1037,211.0963
1040,50.195946
1042,22.228416
1046,50.663895
1048,73.914215
1049,106.472595
1050,29.860312
1051,184.26965
1052,160.10501
1055,61.79032
1060,104.7478
1064,46.868214
1066,22.765068
1071,112.63514
1073,24.196423
1089,200.64977
1091,69.86604
1092,17.587948
1093,154.66464
1096,187.80006
1097,155.87735
1098,22.561684
1099,34.876457
1102,208.27748
1107,41.477226
1109,41.9244
1111,23.938797
1112,78.38927
1114,248.9755
1116,201.54463
1117,124.8785
1118,39.308624
1122,120.09494
1124,143.8677
1127,57.233078
1133,220.87859
1134,25.126507
1135,116.64065
1139,197.25887
1143,26.766138
1150,50.896477
1151,69.256836
1153,186.88205
1155,33.21352
1162,28.670965
1163,141.24965
1166,7.0112476
1171,36.875282
1172,21.987001
1173,177.70314
1174,58.112984
1177,61.723743
1178,110.77852
1184,46.699905
1185,87.77692
1186,47.02356
1187,184.74097
1188,200.91557
1191,127.886635
1207,82.18689
1213,31.02647
1215,116.206566
1223,205.68115
1227,82.87896
1236,27.234459
1237,27.30127
1238,31.732811
1241,22.966537
1248,26.384134
1250,8.71601
1251,170.59242
1253,66.49089
1255,80.51709
1257,216.6355
1261,50.835835
1262,221.50166
1265,129.56133
1273,165.83342
1277,163.45445
1278,87.85735
1280,61.79037
1284,120.802
1285,213.92537
1288,34.096706
1295,78.77769
1297,253.39458
1299,177.84282
1304,156.1086
1308,35.367542
1310,82.527756
1311,97.76788
1314,46.534477
1315,86.8801
1318,26.32721
1320,215.12512
1321,189.83235
1322,154.78508
1330,118.12721
1333,144.19319
1334,163.79152
1341,157.208
1344,101.75951
1351,172.03459
1354,62.646317
1356,34.809288
1363,83.12916
1365,152.1679
1369,106.54982
1373,64.118965
1375,91.86858
1377,29.317587
1379,158.3081
1380,179.74776
1381,68.69601
1384,120.38988
1390,177.54727
1393,167.1772
1395,27.230436
1399,174.96983
1400,32.742744
1401,52.710632
1404,154.27379
1408,15.469835
1409,1.2060928
1413,152.66063
1416,192.8475
1418,68.54611
1423,48.910175
1424,28.986809
1425,32.00051
1433,227.01399
1434,103.27358
1436,184.78038
1442,172.43248
1444,32.067818
1445,130.1853
1452,205.72115
1455,148.3512
1462,35.77259
