id,count
0,106.56
1,212.42
2,97.25
4,34.16
5,105.64
10,120.95
11,120.36
12,328.79
15,41.64
17,145.42
18,277.36
23,248.24
25,131.05
26,45.79
31,204.65
39,141.76
40,27.06
41,198.64
42,352.97
43,146.88
51,166.48
52,89.84
54,19.13
60,132.54
61,129.44
62,126.02
63,25.58
65,114.29
66,119.04
68,156.2
71,75.93
80,30.09
82,67.63
94,124.73
98,261.03
101,37.43
102,159.09
107,154.75
112,185.68
113,87.67
115,68.12
116,120.49
120,182.6
121,84.18
122,320.81
132,204.74
143,88.62
147,80.93
150,19.66
151,84.96
152,228.83
153,85.3
155,177.37
156,132.72
159,140.66
161,166.98
163,45.99
177,145.53
186,16.47
188,17.73
190,104.85
191,66.58
192,267.76
195,300.75
200,160.28
209,297.58
210,19.59
211,170.11
214,155.23
215,28.29
218,112.18
219,40.22
222,183.94
225,19.18
228,309.66
236,154.91
241,36.51
242,174.77
243,183.02
245,20.57
247,238.49
251,159.14
252,94.7
253,79.78
254,80.66
258,299.04
260,61.46
261,131.21
265,111.82
266,267.92
267,295.58
269,163.37
270,65.39
275,107.92
278,40.87
279,83.77
286,104.97
287,26.56
288,233.73
289,161.94
293,17.68
294,160.13
297,52.38
302,127.13
303,73.32
304,92.3
307,103.37
309,20.22
311,133.0
312,153.97
314,179.63
315,184.18
319,168.6
322,119.05
323,76.77
325,136.29
327,229.66
330,41.35
332,158.91
333,19.09
338,107.94
341,114.93
345,210.72
348,122.05
349,45.77
350,120.61
352,64.06
355,17.5
356,168.57
358,80.18
363,133.83
369,139.63
371,20.03
372,132.32
375,275.15
380,129.93
388,43.41
391,160.9
392,265.06
393,360.77
394,213.49
396,29.46
401,36.46
407,99.55
409,80.65
410,120.86
416,106.22
418,119.13
420,141.79
421,164.07
422,136.99
424,275.05
428,340.12
429,228.5
431,171.48
435,15.53
439,123.31
441,17.08
447,96.61
449,156.12
451,148.11
452,19.08
454,188.61
458,214.13
463,125.24
467,18.87
470,245.02
471,146.02
474,279.73
478,18.99
483,130.73
484,141.64
485,84.94
486,120.12
491,114.62
494,109.28
495,240.7
497,222.45
499,170.01
515,129.72
518,221.17
521,202.65
525,133.42
529,227.01
532,136.95
534,104.25
540,109.21
544,278.03
547,166.14
549,44.71
563,42.5
564,130.33
567,132.69
572,127.53
577,128.91
578,239.37
585,355.29
588,152.26
589,121.41
590,111.13
592,19.67
594,235.9
596,18.21
598,351.27
599,130.06
605,35.11
606,130.34
607,244.06
608,224.3
609,73.03
610,280.16
611,192.03
614,152.11
615,209.44
616,240.63
617,126.61
618,256.83
624,130.24
629,132.02
